,Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Cidade,Regiao
21,FURTO - OUTROS,16.231,15.972,21.005,...,...,...,...,...,...,...,...,...,53.208,2022,São Paulo,Capital
22,FURTO DE VEÍCULO,2.817,2.979,3.749,...,...,...,...,...,...,...,...,...,9.545,2022,São Paulo,Capital
23,HOMICÍDIO DOLOSO (2),0.0,2.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Arujá,Grande São Paulo (exclui a Capital)
24,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,2.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Arujá,Grande São Paulo (exclui a Capital)
25,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Arujá,Grande São Paulo (exclui a Capital)
26,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Arujá,Grande São Paulo (exclui a Capital)
27,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,2.0,0.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2022,Arujá,Grande São Paulo (exclui a Capital)
28,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Arujá,Grande São Paulo (exclui a Capital)
29,TENTATIVA DE HOMICÍDIO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Arujá,Grande São Paulo (exclui a Capital)
30,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Arujá,Grande São Paulo (exclui a Capital)
31,LESÃO CORPORAL DOLOSA,20.0,28.0,27.0,...,...,...,...,...,...,...,...,...,75.0,2022,Arujá,Grande São Paulo (exclui a Capital)
32,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,6.0,6.0,10.0,...,...,...,...,...,...,...,...,...,22.0,2022,Arujá,Grande São Paulo (exclui a Capital)
33,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Arujá,Grande São Paulo (exclui a Capital)
34,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Arujá,Grande São Paulo (exclui a Capital)
35,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Arujá,Grande São Paulo (exclui a Capital)
36,TOTAL DE ESTUPRO (4),2.0,1.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2022,Arujá,Grande São Paulo (exclui a Capital)
37,ESTUPRO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Arujá,Grande São Paulo (exclui a Capital)
38,ESTUPRO DE VULNERÁVEL,2.0,1.0,1.0,...,...,...,...,...,...,...,...,...,4.0,2022,Arujá,Grande São Paulo (exclui a Capital)
39,TOTAL DE ROUBO - OUTROS (1),27.0,15.0,17.0,...,...,...,...,...,...,...,...,...,59.0,2022,Arujá,Grande São Paulo (exclui a Capital)
40,ROUBO - OUTROS,25.0,14.0,16.0,...,...,...,...,...,...,...,...,...,55.0,2022,Arujá,Grande São Paulo (exclui a Capital)
41,ROUBO DE VEÍCULO,6.0,5.0,12.0,...,...,...,...,...,...,...,...,...,23.0,2022,Arujá,Grande São Paulo (exclui a Capital)
42,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Arujá,Grande São Paulo (exclui a Capital)
43,ROUBO DE CARGA,2.0,1.0,1.0,...,...,...,...,...,...,...,...,...,4.0,2022,Arujá,Grande São Paulo (exclui a Capital)
44,FURTO - OUTROS,48.0,46.0,55.0,...,...,...,...,...,...,...,...,...,149.0,2022,Arujá,Grande São Paulo (exclui a Capital)
45,FURTO DE VEÍCULO,9.0,9.0,16.0,...,...,...,...,...,...,...,...,...,34.0,2022,Arujá,Grande São Paulo (exclui a Capital)
46,HOMICÍDIO DOLOSO (2),1.0,3.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,Barueri,Grande São Paulo (exclui a Capital)
47,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1.0,3.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,Barueri,Grande São Paulo (exclui a Capital)
48,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Barueri,Grande São Paulo (exclui a Capital)
49,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Barueri,Grande São Paulo (exclui a Capital)
50,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1.0,1.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2022,Barueri,Grande São Paulo (exclui a Capital)
51,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Barueri,Grande São Paulo (exclui a Capital)
52,TENTATIVA DE HOMICÍDIO,3.0,0.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2022,Barueri,Grande São Paulo (exclui a Capital)
53,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Barueri,Grande São Paulo (exclui a Capital)
54,LESÃO CORPORAL DOLOSA,42.0,46.0,64.0,...,...,...,...,...,...,...,...,...,152.0,2022,Barueri,Grande São Paulo (exclui a Capital)
55,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,37.0,20.0,37.0,...,...,...,...,...,...,...,...,...,94.0,2022,Barueri,Grande São Paulo (exclui a Capital)
56,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Barueri,Grande São Paulo (exclui a Capital)
57,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Barueri,Grande São Paulo (exclui a Capital)
58,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Barueri,Grande São Paulo (exclui a Capital)
59,TOTAL DE ESTUPRO (4),5.0,7.0,7.0,...,...,...,...,...,...,...,...,...,19.0,2022,Barueri,Grande São Paulo (exclui a Capital)
60,ESTUPRO,0.0,1.0,3.0,...,...,...,...,...,...,...,...,...,4.0,2022,Barueri,Grande São Paulo (exclui a Capital)
61,ESTUPRO DE VULNERÁVEL,5.0,6.0,4.0,...,...,...,...,...,...,...,...,...,15.0,2022,Barueri,Grande São Paulo (exclui a Capital)
62,TOTAL DE ROUBO - OUTROS (1),71.0,73.0,66.0,...,...,...,...,...,...,...,...,...,210.0,2022,Barueri,Grande São Paulo (exclui a Capital)
63,ROUBO - OUTROS,64.0,70.0,63.0,...,...,...,...,...,...,...,...,...,197.0,2022,Barueri,Grande São Paulo (exclui a Capital)
64,ROUBO DE VEÍCULO,15.0,13.0,13.0,...,...,...,...,...,...,...,...,...,41.0,2022,Barueri,Grande São Paulo (exclui a Capital)
65,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Barueri,Grande São Paulo (exclui a Capital)
66,ROUBO DE CARGA,7.0,3.0,3.0,...,...,...,...,...,...,...,...,...,13.0,2022,Barueri,Grande São Paulo (exclui a Capital)
67,FURTO - OUTROS,187.0,159.0,224.0,...,...,...,...,...,...,...,...,...,570.0,2022,Barueri,Grande São Paulo (exclui a Capital)
68,FURTO DE VEÍCULO,39.0,41.0,39.0,...,...,...,...,...,...,...,...,...,119.0,2022,Barueri,Grande São Paulo (exclui a Capital)
69,HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
70,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
71,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
72,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
73,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
74,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
75,TENTATIVA DE HOMICÍDIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
76,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
77,LESÃO CORPORAL DOLOSA,5.0,8.0,8.0,...,...,...,...,...,...,...,...,...,21.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
78,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0.0,0.0,2.0,...,...,...,...,...,...,...,...,...,2.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
79,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
80,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
81,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
82,TOTAL DE ESTUPRO (4),3.0,1.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
83,ESTUPRO,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
84,ESTUPRO DE VULNERÁVEL,3.0,0.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
85,TOTAL DE ROUBO - OUTROS (1),3.0,0.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
86,ROUBO - OUTROS,3.0,0.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
87,ROUBO DE VEÍCULO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
88,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
89,ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
90,FURTO - OUTROS,23.0,9.0,13.0,...,...,...,...,...,...,...,...,...,45.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
91,FURTO DE VEÍCULO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Biritiba Mirim,Grande São Paulo (exclui a Capital)
92,HOMICÍDIO DOLOSO (2),0.0,1.0,2.0,...,...,...,...,...,...,...,...,...,3.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
93,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,1.0,2.0,...,...,...,...,...,...,...,...,...,3.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
94,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
95,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
96,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1.0,0.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
97,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
98,TENTATIVA DE HOMICÍDIO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
99,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
100,LESÃO CORPORAL DOLOSA,21.0,25.0,28.0,...,...,...,...,...,...,...,...,...,74.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
101,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,2.0,7.0,14.0,...,...,...,...,...,...,...,...,...,23.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
102,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
103,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
104,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
105,TOTAL DE ESTUPRO (4),3.0,4.0,4.0,...,...,...,...,...,...,...,...,...,11.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
106,ESTUPRO,0.0,1.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
107,ESTUPRO DE VULNERÁVEL,3.0,3.0,3.0,...,...,...,...,...,...,...,...,...,9.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
108,TOTAL DE ROUBO - OUTROS (1),22.0,23.0,22.0,...,...,...,...,...,...,...,...,...,67.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
109,ROUBO - OUTROS,21.0,19.0,19.0,...,...,...,...,...,...,...,...,...,59.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
110,ROUBO DE VEÍCULO,3.0,8.0,7.0,...,...,...,...,...,...,...,...,...,18.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
111,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
112,ROUBO DE CARGA,1.0,4.0,3.0,...,...,...,...,...,...,...,...,...,8.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
113,FURTO - OUTROS,27.0,49.0,35.0,...,...,...,...,...,...,...,...,...,111.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
114,FURTO DE VEÍCULO,3.0,6.0,7.0,...,...,...,...,...,...,...,...,...,16.0,2022,Caieiras,Grande São Paulo (exclui a Capital)
115,HOMICÍDIO DOLOSO (2),0.0,1.0,2.0,...,...,...,...,...,...,...,...,...,3.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
116,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,1.0,3.0,...,...,...,...,...,...,...,...,...,4.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
117,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
118,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
119,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1.0,1.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
120,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
121,TENTATIVA DE HOMICÍDIO,0.0,2.0,2.0,...,...,...,...,...,...,...,...,...,4.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
122,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
123,LESÃO CORPORAL DOLOSA,20.0,35.0,35.0,...,...,...,...,...,...,...,...,...,90.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
124,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,5.0,8.0,16.0,...,...,...,...,...,...,...,...,...,29.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
125,LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
126,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
127,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
128,TOTAL DE ESTUPRO (4),2.0,2.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
129,ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
130,ESTUPRO DE VULNERÁVEL,2.0,2.0,2.0,...,...,...,...,...,...,...,...,...,6.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
131,TOTAL DE ROUBO - OUTROS (1),8.0,10.0,14.0,...,...,...,...,...,...,...,...,...,32.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
132,ROUBO - OUTROS,6.0,9.0,12.0,...,...,...,...,...,...,...,...,...,27.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
133,ROUBO DE VEÍCULO,4.0,7.0,1.0,...,...,...,...,...,...,...,...,...,12.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
134,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
135,ROUBO DE CARGA,2.0,1.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
136,FURTO - OUTROS,38.0,45.0,52.0,...,...,...,...,...,...,...,...,...,135.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
137,FURTO DE VEÍCULO,3.0,7.0,3.0,...,...,...,...,...,...,...,...,...,13.0,2022,Cajamar,Grande São Paulo (exclui a Capital)
138,HOMICÍDIO DOLOSO (2),3.0,4.0,2.0,...,...,...,...,...,...,...,...,...,9.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
139,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),7.0,4.0,2.0,...,...,...,...,...,...,...,...,...,13.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
140,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
141,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
142,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
143,HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
144,TENTATIVA DE HOMICÍDIO,1.0,5.0,3.0,...,...,...,...,...,...,...,...,...,9.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
145,LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
146,LESÃO CORPORAL DOLOSA,64.0,70.0,89.0,...,...,...,...,...,...,...,...,...,223.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
147,LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,21.0,41.0,23.0,...,...,...,...,...,...,...,...,...,85.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
148,LESÃO CORPORAL CULPOSA - OUTRAS,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
149,LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
150,Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
151,TOTAL DE ESTUPRO (4),16.0,6.0,17.0,...,...,...,...,...,...,...,...,...,39.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
152,ESTUPRO,4.0,0.0,4.0,...,...,...,...,...,...,...,...,...,8.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
153,ESTUPRO DE VULNERÁVEL,12.0,6.0,13.0,...,...,...,...,...,...,...,...,...,31.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
154,TOTAL DE ROUBO - OUTROS (1),187.0,182.0,164.0,...,...,...,...,...,...,...,...,...,533.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
155,ROUBO - OUTROS,178.0,176.0,158.0,...,...,...,...,...,...,...,...,...,512.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
156,ROUBO DE VEÍCULO,17.0,26.0,12.0,...,...,...,...,...,...,...,...,...,55.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
157,ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
158,ROUBO DE CARGA,9.0,6.0,6.0,...,...,...,...,...,...,...,...,...,21.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
159,FURTO - OUTROS,181.0,186.0,243.0,...,...,...,...,...,...,...,...,...,610.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
160,FURTO DE VEÍCULO,70.0,73.0,78.0,...,...,...,...,...,...,...,...,...,221.0,2022,Carapicuíba,Grande São Paulo (exclui a Capital)
161,HOMICÍDIO DOLOSO (2),0.0,2.0,5.0,...,...,...,...,...,...,...,...,...,7.0,2022,Cotia,Grande São Paulo (exclui a Capital)
162,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,2.0,5.0,...,...,...,...,...,...,...,...,...,7.0,2022,Cotia,Grande São Paulo (exclui a Capital)
163,HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cotia,Grande São Paulo (exclui a Capital)
164,Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2022,Cotia,Grande São Paulo (exclui a Capital)
165,HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,1.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2022,Cotia,Grande São Paulo (exclui a Capital)
